"state","puma12","ur","pop10","afact"
"State code","PUMA (2012)","Urban/rural","Population (2010)","puma12 to ur allocation factor"
"08","04101","U",66376,0.595 
"08","04102","R",2139,0.02 
"08","04102","U",104896,0.98 
"08","04103","U",102746,1 
"08","04104","U",108283,1 
"08","04105","R",50,0.0005 
"08","04105","U",109471,0.9995 
"08","04106","R",22852,0.2146 
"08","04106","U",83628,0.7854 
"09","00100","R",17497,0.1047 
"09","00100","U",149690,0.8953 
"09","00101","R",9588,0.0835 
"09","00101","U",105285,0.9165 
"09","00102","R",5710,0.0311 
"09","00102","U",178104,0.9689 
"09","00103","R",174,0.0013 
"09","00103","U",132552,0.9987 
"09","00104","U",144229,1 
"09","00105","R",9059,0.0521 
"09","00105","U",164941,0.9479 
"09","00300","R",21332,0.1356 
"09","00300","U",136014,0.8644 
"09","00301","R",669,0.0061 
"09","00301","U",108824,0.9939 
"09","00302","U",124775,1 
"09","00303","R",9142,0.0568 
"09","00303","U",151853,0.9432 
"09","00304","R",8575,0.076 
"09","00304","U",104272,0.924 
"09","00305","R",2175,0.0196 
"09","00305","U",108613,0.9804 
"09","00306","R",6461,0.0549 
"09","00306","U",111309,0.9451 
"09","00500","R",78722,0.4145 
"09","00500","U",111205,0.5855 
"09","00700","R",40657,0.2454 
"09","00700","U",125019,0.7546 
"09","00900","R",15232,0.1142 
"09","00900","U",118187,0.8858 
"09","00901","U",110366,1 
"09","00902","R",2199,0.0169 
"09","00902","U",127897,0.9831 
"09","00903","R",5889,0.0474 
"09","00903","U",118315,0.9526 
"09","00904","U",122279,1 
"09","00905","U",129779,1 
"09","00906","R",8074,0.0719 
"09","00906","U",104260,0.9281 
"09","01100","R",57468,0.4132 
"09","01100","U",81618,0.5868 
"09","01101","R",13261,0.0983 
"09","01101","U",121708,0.9017 
"09","01300","R",58340,0.3821 
"09","01300","U",94351,0.6179 
"09","01500","R",58931,0.4976 
"09","01500","U",59497,0.5024 
"10","00101","U",108214,1 
"10","00102","R",4388,0.0302 
"10","00102","U",140683,0.9698 
"10","00103","R",859,0.0059 
"10","00103","U",143738,0.9941 
"10","00104","R",19536,0.139 
"10","00104","U",121061,0.861 
"10","00200","R",43774,0.2697 
"10","00200","U",118536,0.7303 
"10","00300","R",81428,0.413 
"10","00300","U",115717,0.587 
"11","00101","U",106024,1 
"11","00102","U",112600,1 
"11","00103","U",103901,1 
"11","00104","U",140006,1 
"11","00105","U",139192,1 
"12","00101","R",1981,0.0139 
"12","00101","U",140364,0.9861 
"12","00102","R",50438,0.4804 
"12","00102","U",54553,0.5196 
"12","00500","R",91755,0.3415 
"12","00500","U",176963,0.6585 
"12","00901","R",14187,0.0773 
"12","00901","U",169238,0.9227 
"12","00902","R",4649,0.0401 
"12","00902","U",111168,0.9599 
"12","00903","R",2156,0.0185 
"12","00903","U",114127,0.9815 
"12","00904","R",6581,0.0515 
"12","00904","U",121270,0.9485 
"12","01101","R",20,0.0001 
"12","01101","U",144189,0.9999 
"12","01102","U",108754,1 
"12","01103","U",101332,1 
"12","01104","U",117990,1 
"12","01105","U",168134,1 
"12","01106","R",15,0.0001 
"12","01106","U",165215,0.9999 
"12","01107","U",100306,1 
"12","01108","U",138155,1 
"12","01109","R",59,0.0006 
"12","01109","U",101186,0.9994 
"12","01110","U",112759,1 
"12","01111","R",202,0.0015 
"12","01111","U",133022,0.9985 
"12","01112","U",128559,1 
"12","01113","U",117196,1 
"12","01114","U",110973,1 
"12","01500","R",14213,0.0888 
"12","01500","U",145765,0.9112 
"12","01701","R",48753,0.3452 
"12","01701","U",92483,0.6548 
"12","01900","R",28570,0.1497 
"12","01900","U",162295,0.8503 
"12","02101","R",720,0.0069 
"12","02101","U",103295,0.9931 
"12","02102","R",1338,0.0123 
"12","02102","U",107554,0.9877 
"12","02103","R",25226,0.2323 
"12","02103","U",83387,0.7677 
"12","02300","R",138348,0.7448 
"12","02300","U",47400,0.2552 
"12","02700","R",44836,0.2979 
"12","02700","U",105669,0.7021 
"12","03101","R",23458,0.1988 
"12","03101","U",94517,0.8012 
"12","03102","R",651,0.0055 
"12","03102","U",118082,0.9945 
"12","03103","R",23,0.0002 
"12","03103","U",102526,0.9998 
"12","03104","R",357,0.0027 
"12","03104","U",131317,0.9973 
"12","03105","R",674,0.0055 
"12","03105","U",122676,0.9945 
"12","03106","U",113789,1 
"12","03107","U",156193,1 
"12","03301","R",22027,0.1995 
"12","03301","U",88365,0.8005 
"12","03302","R",2682,0.0143 
"12","03302","U",184545,0.9857 
"12","03500","R",10828,0.1055 
"12","03500","U",91786,0.8945 
"12","05301","R",33476,0.1938 
"12","05301","U",139302,0.8062 
"12","05701","U",139898,1 
"12","05702","R",55,0.0004 
"12","05702","U",156225,0.9996 
"12","05703","R",3998,0.0271 
"12","05703","U",143716,0.9729 
"12","05704","R",803,0.0052 
"12","05704","U",153846,0.9948 
"12","05705","R",3176,0.0217 
"12","05705","U",143240,0.9783 
"12","05706","R",17195,0.1374 
"12","05706","U",107963,0.8626 
"12","05707","R",426,0.0024 
"12","05707","U",177849,0.9976 
"12","05708","R",17528,0.0969 
"12","05708","U",163308,0.9031 
"12","06100","R",6857,0.0497 
"12","06100","U",131171,0.9503 
"12","06300","R",139887,0.7283 
"12","06300","U",52187,0.2717 
"12","06901","R",28484,0.2825 
"12","06901","U",72355,0.7175 
"12","06902","R",21525,0.1635 
"12","06902","U",110154,0.8365 
"12","06903","R",39849,0.2523 
"12","06903","U",118105,0.7477 
"12","07101","R",13710,0.114 
"12","07101","U",106586,0.886 
"12","07102","R",1222,0.0077 
