"state","puma12","cbsa","pop10","afact"
"State code","PUMA (2012)","CBSA (current)","Population (2010)","puma12 to cbsa allocation factor"
"12","12701","19660",110993,1 
"12","12702","19660",127717,1 
"12","12703","19660",130896,1 
"12","12704","19660",118069,1 
"13","00100","15260",93959,0.6504 
"13","00100","41220",50513,0.3496 
"13","00200","25980",77917,0.7205 
"13","00200","42340",30233,0.2795 
"13","00300"," ",14593,0.1065 
"13","00300","42340",52250,0.3812 
"13","00300","44340",70217,0.5123 
"13","00401","42340",159408,1 
"13","00402","42340",105720,1 
"13","00500"," ",38440,0.2283 
"13","00500","15260",18411,0.1093 
"13","00500","20060",42356,0.2515 
"13","00500","46660",14112,0.0838 
"13","00500","48180",55070,0.327 
"13","00600","46660",109233,1 
"13","00700"," ",54966,0.4262 
"13","00700","22340",17634,0.1367 
"13","00700","45700",40118,0.3111 
"13","00700","46660",16243,0.126 
"13","00800","10500",21679,0.1937 
"13","00800","34220",45498,0.4066 
"13","00800","45620",44720,0.3997 
"13","00900","10500",122863,1 
"13","01001","12060",109678,1 
"13","01002","12060",107498,1 
"13","01003","12060",108325,1 
"13","01004","12060",114386,1 
"13","01005","12060",148314,1 
"13","01006","12060",109963,1 
"13","01007","12060",123918,1 
"13","01008","12060",116891,1 
"13","01100"," ",81065,0.6663 
"13","01100","10500",12766,0.1049 
"13","01100","12460",27842,0.2288 
"13","01200"," ",93745,0.5852 
"13","01200","27700",30099,0.1879 
"13","01200","47080",36346,0.2269 
"13","01300"," ",84595,0.5915 
"13","01300","20140",58414,0.4085 
"13","01400","31420",155547,1 
"13","01500","47580",151910,1 
"13","01600"," ",30781,0.1701 
"13","01600","31420",76746,0.4241 
"13","01600","33300",45720,0.2527 
"13","01600","47580",27695,0.1531 
"13","01700","17980",201152,1 
"13","01800"," ",65188,0.3841 
"13","01800","11140",37829,0.2229 
"13","01800","17980",40766,0.2402 
"13","01800","18380",23439,0.1381 
"13","01800","21640",2513,0.0148 
"13","01900","12060",123914,0.8203 
"13","01900","45580",27153,0.1797 
"13","02001","12060",126130,1 
"13","02002","12060",129332,1 
"13","02003","12060",155142,1 
"13","02004","12060",137880,1 
"13","02100","12060",127317,1 
"13","02200","12060",33826,0.3353 
"13","02200","29300",67044,0.6647 
"13","02300","12060",110527,1 
"13","02400","12060",106567,1 
"13","02500","12060",28780,0.1728 
"13","02500","16340",41475,0.249 
"13","02500","40660",96317,0.5782 
"13","02600","16860",149331,0.8516 
"13","02600","44900",26015,0.1484 
"13","02700","19140",102599,1 
"13","02800"," ",51974,0.2949 
"13","02800","12060",29431,0.167 
"13","02800","15660",55186,0.3132 
"13","02800","19140",39628,0.2249 
"13","02900","12060",100157,1 
"13","03001","12060",140042,1 
"13","03002","12060",124405,1 
"13","03003","12060",123322,1 
"13","03004","12060",154587,1 
"13","03005","12060",145722,1 
"13","03101","12060",102871,1 
"13","03102","12060",111475,1 
"13","03200"," ",105213,0.8249 
"13","03200","12060",22330,0.1751 
"13","03300","12060",175511,1 
"13","03400","23580",179684,1 
"13","03500"," ",65692,0.4869 
"13","03500","18460",43041,0.319 
"13","03500","45740",26175,0.194 
"13","03600","12020",116714,1 
"13","03700"," ",36160,0.3229 
"13","03700","12020",75827,0.6771 
"13","03800","12060",69367,0.5342 
"13","03800","27600",60485,0.4658 
"13","03900","12060",115536,1 
"13","04000","12260",200549,1 
"13","04001","12060",135979,1 
"13","04002","12060",108241,1 
"13","04003","12060",144475,1 
"13","04004","12060",103912,1 
"13","04005","12060",118448,1 
"13","04006","12060",194266,1 
"13","04100","12260",124053,1 
"13","04200"," ",67683,0.5194 
"13","04200","12260",53187,0.4082 
"13","04200","33300",9429,0.0724 
"13","04300","12060",185173,1 
"13","04400","12060",132403,1 
"13","04500","12060",142324,1 
"13","04600","12060",125017,1 
"13","05001","12060",109951,1 
"13","05002","12060",149473,1 
"13","06001","12060",100451,1 
